"","id","qid1","qid2","question1","question2","is_duplicate"
"186745",186744,50838,175034,"What are the best job fairs near Queens? When and where are they held? What were your experiences at them?","What are the best job fairs near Nashville? When and where are they held? What were your experiences at them?",0
"188676",188675,287291,287292,"How do I create a brand page in Quora?","Is it possible to create a company account on Quora?",1
"189342",189341,288063,288064,"Which are the best coaching institutes for CLAT?","Which is the best coaching institute for CLAT?",1
"191646",191645,291043,291044,"How can I give up drinking alcohol?","How can I give up alcohol?",1
"191935",191934,280169,291433,"URN given to me for Aadhar update is showing incorrect when I try to check the status. Is there any other way to check it?","If the Aadhar status is ""under manual check"", how long will it take to get Aadhar? How do they perform a manual check?",0
"192355",192354,291979,291980,"Does University of British Columbia give financial aid to international students?","Is it easy to get financial aid at Harvard as an international student?",0
"192851",192850,292590,292591,"How are airline/GDS record locators generated?","What is the difference between a GDS and PSS in terms of Airline systems?",0
"193263",193262,24717,56614,"Will war happen between India and Pakistan?","If war happens between india and pakistan, how will it effect common man economically?",1
"193441",193440,293347,293348,"Which topic read more by public on facebook?","What are the top topics on Quora which is used by most people's?",0
"193559",193558,293498,293499,"What were the conditions like in Japanese internment camps?","What were the conditions like at the Japanese internment camps?",1
"193647",193646,293617,293618,"What are some good thesis topics in finances and banking?","What are some good thesis topics in accounting?",0
"195079",195078,277982,206304,"What are some of the telltale signs of a manipulative person?","What are the signs of a manipulative person?",1
"195901",195900,270351,135499,"What is embeded s?","What is embedded?",0
"196066",196065,296684,296685,"How can non-IATA travel agents provide flight reservation systems in their website?","Which is best GDS software for IATA travel agencies?",0
"196331",196330,70942,189748,"Which women has outie belly buttons?","Which women has innie belly button?",1
"196663",196662,297407,297408,"How do I deal with extreme confusion, pain & helplessness after being completely cut off by my S.O, who doesn't want any type of contact ever?","How can I bond with my biological dad if my mom doesn't want me to have any contact with him?",0
"196705",196704,297461,297462,"How do I make a good PowerPoint presentation?","How do make excellent powerpoint presentations?",1
"197531",197530,298516,298517,"What are some tips on making it through the job interview process at Nasdaq?","What are some tips on making it through the job interview process at Team?",0
"197750",197749,2609,298785,"Which is Better: Raw egg or Boiled egg?","Which is one is better, a boiled egg or an omelette for more proteins and fats?",0
"198708",198707,300005,300006,"What is an ordnance factory?","Is the job in Ordnance Factories transferable?",0
"198919",198918,193603,26365,"What are some examples of endangered species in the tropical rainforest, and how do these differ from those in the desert?","What are some examples of endangered species in the tropical rainforest, and how do these differ from those in oceans?",0
"199572",199571,301100,280762,"How do I buy a house in Italy?","How do you buy a house?",0
"200870",200869,27137,72948,"How can I impress a teenage girl?","What should I do to impress a girl?",1
"201793",201792,92402,303889,"Dating Advice: Is it ridiculous to fall in love with someone you never met in person but talked to and shared a lot with over the Internet?","Why do people fall in love with the person they haven't met?",0
"202003",202002,170821,304159,"I booked a ticket using IRCTC and money was debited from my account but my ticket was not booked. What does this mean?","How can I book tickets on IRCTC using ICICI payment gateway?",0
"202323",202322,304582,49789,"Why do teachers study sociology of education?","What is sociology of education?",1
"204134",204133,40173,36847,"Will the decision to demonetize 500 and 1000 rupee notes help to curb black money?","How will the India demonetization of 500 and 1000 rupees notes will reduce black money?",1
"204655",204654,307613,307614,"I am not able to have sex. It hurts a lot when my boyfriend tries to penetrate. What is the cure for vaginismus?","Do you think Pakistan should be bombed before it acquire more powerful weapon of mass destruction?",0
"204895",204894,307906,10997,"What is the best feeling you ever had in your life?","What are some of the best feelings in life?",0
"205473",205472,308626,308627,"How should we improve?","How do you improve at improv?",0
"205557",205556,308754,308755,"To what extent has social media played a role in shaping the events unfolding in Egypt, Tunisia and Libya?","What exactly was the role of social media in the Arab Spring?",0
"206419",206418,309824,309825,"Why does Jake Williams love Zootopia so much?","What do you think about Zootopia?",0
"206831",206830,310362,282240,"Is it advisable to eat a hot soup on the day your wisdom teeth were extracted?","What is to eat after wisdom teeth extractions?",0
"207049",207048,16176,59926,"Why are American Saltwater Taffy candies imported in Japan?","Why is Saltwater Taffy candy imported in Mexico?",1
"207119",207118,310729,310730,"Why there is still no NCL like criterion to provide reservations for SC/ST candidates?","Why is government not issuing a creamy layer criteria for SC/ST?",0
"207202",207201,114947,212752,"According to Islam, are all non Muslims going to hell? Is this fair considering most people are not lucky enough to be born as Muslims?","Are all non Muslims going to hell according to Quran? Do you believe that?",1
"207247",207246,140831,31057,"What are symptoms of social anxiety?","How can I tell I have anxiety?",1
"207669",207668,275583,311426,"We want to know how much it will cost to design hybrid app in hyderabad and which freelancers are providing service in hyderabad?","Which software companies in Hyderabad provide cab or bus service to its employees?",0
"208392",208391,312374,312375,"What do you think of this poem that I wrote?","What do you think of this poem I wrote?",1
"208629",208628,4415,12852,"What should I do to make money online in India?","How can I start to make money online?",1
"209699",209698,314049,314050,"Why do we sweat more?","Why do we sweat more on the head?",0
"210069",210068,314521,314522,"How has life changed after you started running?","Does life change after you turn 30?",0
"210653",210652,57593,315281,"What websites does investors usually go?","What are some emotions which usually go together?",0
"211143",211142,194431,315919,"How are the laws regarding self defense weapons enforced in Australia and how do they compare to the way they're enforced in the Philippines?","How are the laws regarding self defense weapons enforced in Australia and how do they compare to the way they're enforced in Slovakia?",0
"211812",211811,202257,125925,"What are some books that literally everybody should read?","What books I should read?",1
"213132",213131,70048,69628,"How can one be prepared for CAT?","How do I prepare for CAT?",1
"213164",213163,86035,318419,"Is it possible","Is it possible to account for the Hebrew Bible without believing that it is the revealed word of God?",0
"213493",213492,318836,318837,"I scored 65 percentile in cat 2016 with just one day preparation being a non engineering is it good or bad?","I scored 65 percentile in cat 2016 with just one day preparation being a non engineer is it good or bad?",1
"213698",213697,4208,319090,"How much money do Uber drivers make?","How much money do Uber drivers makes in San Diego?",0
"213799",213798,319228,319229,"Does short service commission officers entitled with medical and canteen facilities?","Do short service commission officers entitled with medical and canteen facilities after retirement?",0
"213990",213989,9519,18366,"If infinite dark/vacuum/gravitational energy can be created as universe expands, does it mean that their potentiality or potential energy is infinite?","Is at least the potential energy of vacuum energy and dark energy infinite?",1
"216542",216541,322724,322725,"How many airplanes are in the air at any given time in the US?","What happens if an airplane runs out of fuel mid-air?",0
"216638",216637,322823,192902,"How do you mix vodka with green tea?","How do you drink green tea?",0
"217095",217094,323382,323383,"Where can I download the soundtrack for Sweeney Todd?","How was the Sweeney Todd soundtrack composed?",0
"217186",217185,323484,323485,"How do I become less horny? (Male)","I am a 22 years male. How do I become less horny?",1
"217604",217603,26094,1179,"What is primary purpose of life?","What do you feel is the purpose of life?",1
"218085",218084,324585,324586,"How can I live a more interesting and fun life?","How can I live a more interesting life?",1
"219592",219591,116125,39841,"How do you find purpose in life?","How can I find my purpose in life?",1
"220113",220112,327145,327146,"How do I start a real estate business from scratch?","What are the best strategies to start a real estate business from scratch (according to your experience) ?",1
"220191",220190,327248,327249,"What can you say about Filipino people?","What do you not know about Filipinos?",0
"220539",220538,327648,327649,"What is it like to have a destination wedding?","What does destination wedding mean?",0
"220797",220796,39083,37794,"What are some unexpected things first-time visitors to Thailand notice?","What are some unexpected things first-time visitors to Italy notice?",0
"220980",220979,207614,245024,"What place is best to build cities: underground, underwater, on water, in the air, or in space?","If I were to build a large city that floats in water, where would be the best placement for it?",0
"221065",221064,1542,24395,"How can I log in Facebook without password?","How can I log in to Facebook if I forgot my email?",1
"221717",221716,329131,329132,"I have taken admission in uit rgpv bhopal in IT branch. What i have to do for best package and placement.?","I want to take admission in engineering but don't have an idea about the different branches there are. Can I get some information about the different branches available, the scope and placement?",0
"222516",222515,99038,98591,"What are some best sites for IQ test?","What is the best online IQ test?",1
"222931",222930,330628,330629,"How painful is it to get a daith piercing?","How painful is it to get a rook piercing?",0
"223271",223270,163809,50070,"What is the best material to prepare for SSC CGL Tier 3 2016?","How do I prepare for SSC CGL Tier 3 (descriptive)?",1
"223641",223640,331511,331512,"What are the best Hindi songs to sing?","What are the best Hindi songs to sing along?",1
"223793",223792,331697,331698,"Can isis take over Iraq?","Will ISIS take over Iraq?",0
"223826",223825,331739,331740,"Why has the world adopted western clothing?","Why has almost every nation on earth adopted ""Western"" (Euro-American) clothing?",1
"223975",223974,331929,331930,"Is it possible to recover the goods from the creditor?","A. Is it possible to recover the goods from the creditor?",1
"224211",224210,60036,332228,"What does last seen on true caller mean?","Are true caller verified accounts trustworthy?",0
"224342",224341,332406,332407,"What is the intersession in VIT?","What is intersession in VIT? What can we do in intersession?",1
"224384",224383,130076,16644,"What are some real life examples of “Karma""?","What's the best real life karma you've ever seen/experienced?",1
"224827",224826,333002,333003,"How much does a utility electrical bill usually cost in Seattle for a 1 bedroom apartment for a single person?","How much does it cost to move a one bedroom apartment from New York to Seattle, WA?",0
"225288",225287,147063,333592,"Can I convert 2d video to 3d?","Is there any free 2D to 3D video convter?",0
"225721",225720,334124,334125,"Do aeroplane landing gear have rotation in its wheels before touchdown to match speeds?","What is the acceleration of a large airliner, say a 747, during landing just before it touches down?",0
"226590",226589,13748,170295,"How will the scrapping of Rs 500 and Rs 1000 notes help in reducing black money and corruption?","How Rs.2000 currency notes will reduce black money market or corruption?",1
"226618",226617,23288,335266,"What is a way to create many Gmail accounts without mobile number verification?","Can I see all my Gmail account related to my mobile number?",0
"226888",226887,17204,335596,"Is it practically or scientifically possible to stop global warming in the world?","Is it possible for us to stop global warming?",1
"227388",227387,336220,336221,"How do I get a government jobs easily?","How do I get a government job easily?",1
"227617",227616,1202,17979,"What's the funniest highbrow joke you've ever heard?","What is the funniest joke you ever told, heard, or read?",1
"227991",227990,36426,265840,"Why has the Modi Government banned the 500 and 1000 rupee notes?","Why Mr. Narendra Modi banned ₹ 1000 and 500 notes in India? How to exchange them for small denominations if I have some of them?",1
"228261",228260,180582,337282,"Why is benzene a carcinogen?","What is benzene oxygen?",0
"228510",228509,337590,337591,"Does acne eventually go away without treatment?","Do track marks go away?",0
"228694",228693,337833,337834,"How do Pilsner and Lager beers differ?","How is lager and pilsner beer different?",1
"228729",228728,337877,337878,"How do I construct a parallellogram 3rd model in geometry?","How do I construct a parallellogram 3rd model?",1
"228769",228768,337932,239822,"Are there other movies like The Secret?","Should I watch the other Matrix movies?",0
"229174",229173,338415,338416,"At what point does ambition become a vice?","Every child will have ambition in life like what they want to become. I want to know whether all parents are promoting the aim of their children?",0
"229731",229730,141094,30083,"What is unusual or different about the food and cuisine in Poland?","What is unusual or different about the food and cuisine in Canada?",0
"229734",229733,339114,267655,"Why does the same job pay much lesser in developing countries than in developed ones?","What is the fundamental reason that workers are paid far less in developing countries than those doing the exact same job in a developed countries?",1
"229744",229743,148471,182893,"What are the major stereotypes people have about Georgia and to what extent are they true?","What are the major stereotypes people have about Myanmar and to what extent are they true?",0
"230204",230203,264695,339680,"How strong are the cockpit doors?","How strong is a cockpit door?",1
"230708",230707,340315,340316,"How GET A+ in STD 9TH?","In your AI post, there isn't much of an intermediate step between AGI and ASI. Will we ever see the kind of human-like AI seen in movies (AGI<h<ASI)?",0
"231013",231012,133537,69886,"Why doesn't India ban the import of Chinese goods as answer to its stance on NSG?","What if India bans import of all Chinese products?",1
"232018",232017,341949,40918,"Can axis bank transfer money from dubai to India?","Can I get back my money from paytm wallet to my bank account?",0
"232060",232059,342007,342008,"What is the geostationary earth orbit?","What is meant by a geostationary orbit?",1
"232977",232976,343100,343101,"What is the basic difference between gene and allele?","What is the difference between alleles and genes?",1
"234673",234672,345230,345231,"Are the words ""slut"" and ""slot"" pronounced the same way?","How do you pronounce this word - BÄR?",0
"234942",234941,345542,345543,"What will happen when login for php application without session?","How do parasailing and hang gliding differ?",0
"235176",235175,192176,116966,"What is the best way to self motivate myself?","Which is the best way to keep yourself motivated?",1
"235189",235188,345853,161653,"What does 100mAh means?","What does mAh mean in a mobile battery?",0
"235246",235245,345921,345922,"How does it feel when you are about to get married?","How do you feel when you are about to get married?",1
"235279",235278,152622,73672,"My dad is a Brahmin and my mom is Forward caste. Am I considered Brahmin, semi-Brahmin or non-Brahmin?","Why are most Hindu vegetarian?",0
"235547",235546,346282,346283,"What is Jet's technology stack?","What is Hired's technology stack?",0
"236767",236766,347762,347763,"What is the symbol for Hyundai Motor Company stock?","What is your review of Hyundai Blue Link?",0
"237094",237093,348180,348181,"What does それでもまだ mean in English?","What does 骚客 mean in English?",0
"238037",238036,349316,349317,"How hard is it to get into KTH Royal Institute of Technology for a bachelor's degree?","What are some of the interesting facts about the KTH (Royal Institute of Technology in Sweden)?",0
"238185",238184,349500,226991,"What are the best spell and trap cards in Yu-Gi-Oh?","What are the best trap cards in Yu-Gi-Oh?",0
"238724",238723,102790,29631,"What is the difference between a resume and C.V.?","What is the difference between CV and resume?",1
"238859",238858,350320,350321,"What are the pros and cons of being a man versus being a woman?","What are some examples of a man being chivalrous towards a woman? Why does it matter so much?",0
"238904",238903,350375,350376,"What is the procedure of applying to a foreign university?","What is the procedure for applying to Canadian universities?",0
"238997",238996,235885,121257,"What happened if we use diesel in petrol engine?","Which is worse for the engine, putting diesel in a ""petrol car"" or petrol in a ""diesel car""?",0
"239467",239466,49725,38545,"How can we control anger?","How do I control my anger and have patience?",1
"240765",240764,352649,352650,"What are the qualities to become an engineer?","What are the qualities of an engineer?",0
"241194",241193,353159,353160,"Is the series [math]\displaystyle\sum _{n=1}^{\infty }\lim_{n\to \infty }(-1)^{n}\frac{1}{n^{\frac{1}{n}}}[/math] convergent or divergent?","Is the series convergent or divergent?",0
"241447",241446,353448,353449,"How do I find post office saving bank IFSC code?","We have lots of reasons to praise PM Narendra Modi. Do we have any reason to criticize him?",0
"241560",241559,137962,32616,"What is Quora mostly used for?","Which country has the maximum active Quora users?",0
"241861",241860,275704,323460,"Why is a diesel engine heavier than a petrol engine?","Why are diesel engines noisier than petrol engines?",0
"241931",241930,354026,354027,"I'm pretty much not interested with my current job and interested in business line, what should I do?","What should I look for if I am interested in setting up a new business in Singapore and whom should I connect with?",0
"242292",242291,140581,81385,"How does Trump's win affects Indian students planning for graduate studies in United States?","Does Trump's victory effect Indian students for their higher studies?",1
"242369",242368,26646,354563,"What adult webcam sites pay models the most?","How do I become a webcam model for free?",0
"242546",242545,354770,354771,"How do you read and understand calories?","How can I understand calories?",1
"243592",243591,356059,143146,"Which is best position for first time sex?","What is the Best position for a quick sex?",0
"244774",244773,357464,357465,"Which career should I choose if I like chemistry but not maths?","How good is my career if I choose science maths?",0
"244895",244894,114764,357610,"Where should I invest my money in stock market?","Should I invest in stock markets?",0
"246281",246280,359307,359308,"How do I become a personal trainer in Delhi NCR?","How do you become a personal trainer, which is a heavily self-regulated vocation?",0
"246351",246350,359385,359386,"Would China attack Japan if the US removed its carrier groups, naval fleets, military bases and troops stationed there?","Who finally conquered the Abbasid Dynasty in 1258? What was the main impact of this conquest?",0
"246385",246384,4517,359427,"Were there any substantive differences between the space shuttles?","Why were the solid rocket boosters on the Space Shuttle Discovery painted asymmetrically?",0
"246526",246525,359591,359592,"Why Indians think reservation is a problem?","Why we Indians are not able to react in a civilized way to societal problems like intolerance, reservations?",0
"246530",246529,359597,359598,"Why is the angle of incidence equal to the angle of reflection?","How does the angle of incidence compare with the angle of reflection?",1
"246663",246662,79928,359749,"What is the best self-improvement book that you have read and why?","What book should I read to improve myself?",1
"247239",247238,10900,23356,"What is the best way to be motivated?","How do I stay motivated?",1
"247306",247305,33831,146812,"How do you talk to a girl like a friend?","How should I talk to the girl I like?",0
"247626",247625,360884,360885,"Why homosexuality is a sin?","Why do Christians consider homosexuality a sin?",0
"248228",248227,94463,102886,"How do I start learning machine learning and data science using python?","How do I start learning Python modules?",1
"248489",248488,11233,39242,"If universe expansion create more gravitational dark and vacuum energy without limit?","If universe is expanding without a limit and dark and vacuum energy are created as it expands…?",1
"248708",248707,362180,362181,"When is revenge justified by the law?","When is revenge justified?",0
"249433",249432,133278,228298,"How does a compass work in smart phones? What sensors are used and how do they show the correct directions?","How to use smart phones smartly?",0
"249904",249903,339589,363647,"How many wives should I have?","How many wives spank their husband? to make relation better or for fun or because their husband wants it? Do you think it can help improve relation?",0
"249994",249993,6869,50454,"Is incognitovpn.com legit?","Is informer.com legit?",0
"250347",250346,364189,22339,"In how much time can I learn to code a WordPress website?","How can I learn WordPress like a professional developer?",1
"250797",250796,260442,364778,"What is a spectrometer?","What can and cannot be measured with a spectrometer?",0
"251093",251092,38747,365121,"How legit is freeadvice.com?","How legit is millsberry.com?",0
"252780",252779,3118,37166,"How will Donald Trump benefit India?","How is US president Donald Trump important for India?",1
"252826",252825,1242,304996,"What is the aim?","What is the aim of religions?",0
"252899",252898,5307,36474,"Does Lipton green tea Assist in weight loss?","How is Lipton Green Tea related to weight loss?",1
"252925",252924,367356,367357,"Is it normal to develop nausea at 34 weeks pregnant?","What would a Mike Pence administration be like, if Trump resigned or was impeached and convicted?",0
"253313",253312,367836,367837,"How can I monetize a book club?","What is the TED Book Club?",0
"253964",253963,23268,346968,"In what way do you think the reservation system can be diminished in India?","What will it take to remove caste based reservation in India? Do you think Modi will do it?",1
"254512",254511,183243,267933,"How Do You Protect Yourself from Dogs?","What is the best way to save yourself from an attacking angry dog?",1
"254670",254669,369443,369444,"How do you change the default Folder icons in Windows 7?","When data modem is connected with the Windows 7 PC the icon is not displayed. Why?",0
"254705",254704,369487,21995,"What is the song with the lyrics ""Let me tell you about my best friend""?","What are the lyrics to the Best Friends song from The Hangover?",0
"255097",255096,369945,369946,"How does Adblock work? And why is it free?","How does AdBlock work?",1
"255900",255899,370883,370884,"When did you realize you loved someone?","How did you realize that you fell in love?",0
"255977",255976,370980,370981,"What is the best skill that a computer student should learn?","What is the best skill that a computer student should learn.?",1
"256271",256270,371340,371341,"Can a husband get addicted to an abusive woman?","Can a woman get addicted to an abusive husband?",0
"256882",256881,372100,372101,"Might America’s prevalent use of prescription drugs caused them to elect Trump?","Why Indian Muslim and dalit are killing because they are eating beef.?",0
"256986",256985,108739,59027,"What are the healthiest foods?","What are some of the healthiest foods to eat?",1
"257163",257162,207599,164192,"Do you think Beau Biden lived a full life?","I am thinking of living my life alone. I am 15. Is that a good idea?",0
"257498",257497,3880,372822,"What was Louis Pasteur's contribution in microbiology?","What is it like to major in microbiology?",0
"257840",257839,49809,106398,"What's your favorite animal?","What is your favorite animals?",1
"257872",257871,373284,373285,"From where can I download software for free?","Which antivirus software can I download for free?",0
"257984",257983,85873,373416,"What is the difference between the word, ""grey"" and ""gray""?","Do you spell out the color as ""grey"" or ""gray""?",1
"259148",259147,374874,374875,"What are the pros and cons of being a product manager in a sales-driven organization (B2C)?","How do I succeed as a product manager in an enterprise SaaS company that can be heavily Sales-driven?",0
"259776",259775,375600,375601,"Does a 3 of a kind beat a straight in poker?","Does a straight beat a 3 of a kind in poker, and if so, why?",1
"260691",260690,123592,376688,"Will demonetisation really curb black money?","Is black money prevalent only in India? If not, then is there any country which has successfully curbed the black money by demonetisation?",0
"261163",261162,377231,16797,"What are some unexpected things first-time visitors to Iceland notice?","What are some unexpected things first-time visitors to India notice?",0
"261205",261204,377279,377280,"How do I reach self-actualization with work?","Is go next media a fraud company?",0
"261831",261830,341864,369491,"Why is India attacking Pakistan now?","Why can't India attack Pakistan?",0
"262335",262334,378644,378645,"What was Uttank Kaul's JEE Main and Advanced Rank and why was he offered MIT?","What was Uttank Kaul's JEE Main and Advanced Rank and how did you get into MIT?",1
"262431",262430,378768,378769,"Assignment on air pollution?","Why shouldn't hire you?",0
"262732",262731,25418,379130,"What makes Virat Kohli so consistent?","Why will there be only one Rahul Dravid?",0
"263069",263068,94381,379547,"How can you determine the chemical formula for dichlorine trioxide?","How do you determine the chemical formula for ferric carbonate?",0
"263355",263354,21374,33412,"Why do some people ask simple direct science questions in Quora when there are sufficient resources available in internet?","Why do so many people ask questions on Quora that can be found in a Google search?",1
"263607",263606,380185,380186,"Which is the best software training institute for the REST API course in Mumbai?","Which is the best software training institute for the API course in Mumbai?",0
"263935",263934,299663,202005,"What are some amazing, mind blowing facts about human brain?","What are some interesting facts about the brain?",1
"265329",265328,382279,382280,"Why is the butterfly called a butterfly?","Why are butterflies called ""butterflies""?",1
"265516",265515,382506,382507,"How do I fix Incredimail Socket Error 10041 Protocol wrong type for socket?","English speaking classes in baner?",0
"265768",265767,382799,382800,"What is the technology behind Kippt?","What's the best tool for saving articles for later: Kippt, Instapaper or Pocket?",0
"265800",265799,382839,382840,"What are some interesting things to learn?","What are the best things to learn in Pune?",0
"265802",265801,382842,382843,"What universities does Resource America recruit new grads from? What majors are they looking for?","What universities does QEP Resources recruit new grads from? What majors are they looking for?",0
"266013",266012,383104,383105,"What is hardest Nick Drake song to play on guitar?","How did Gandalf recognize where to go when they were in Moria?",0
"266177",266176,278685,383305,"Is it possible to make like $50 a month off of Fiverr?","Can people actually make money on Fiverr?",1
"266358",266357,383523,383524,"My exam didn't go well and I can't focus on my next paper. What should I do to concentrate?","My first exam didn't go so well and the thoughts of it are not letting me concentrate and study for my next exams. What should I do?",1
"266563",266562,383753,383754,"Does it trouble Americans to know that many foreigners (Indians) intentionally get an H-1B or L1 visa so that their child can have U.S. citizenship?","Should I go to MS in US or get experience here and go for H1B visa for a job (getting sponsorship)?",0
"266672",266671,383882,383883,"What is grey body?","What is a grey body?",1
"266738",266737,194345,85220,"What are you going to do now that Trump has won the US presidential election?","What should I do now since Trump won?",1
"268509",268508,3807,51940,"What are the best Smartphones tech gadgets?","What are some of the best mobile phones gadgets?",1
"269398",269397,387100,387101,"Is it illegal to watch ""Our friend Martin"" on YouTube?","Is it illegal to watch pirated videos on youtube?",0
"269912",269911,387688,387689,"Why is Quora much popular in India compared to other countries?","Why is Quora more popular in India than in other country?",1
"270062",270061,48712,17399,"Daniel Ek: Why hasn't Spotify come to India yet? When is it launching in India?","Daniel Ek: Why isn't Spotify coming to India instead of the huge internet consumption India has?",1
"270403",270402,388281,43747,"Where will I get this book ""C Programming: A Modern Approach"" by K. N. King as a good quality e-book?","Which is the best book to learn about data structures using C?",0
"270920",270919,388890,388891,"What are the main differences between BackTrack 5 and Fedora Security suite?","What is the difference between Android Lollipop 5.1.1 and Marshmallow 6.0?",0
"271344",271343,389409,389410,"What are the pre-requisites of SAP HANA learning?","What are the pre-requisites for learning SAP HANA?",1
"271381",271380,298457,147234,"How true is it that cannabis can cure cancer?","How does cannabis affect cancer?",1
"271440",271439,106654,389514,"Which is the best i5 6th gen or 7th gen?","What is best i5 6th or 7th gen?",1
"271618",271617,389735,389736,"Can an empire become a kingdom?","How do Kingdoms become Empires?",0
"272256",272255,4243,126795,"How do we know that nothing can travel faster than the speed of light?","Why we cannot make a vehicle which can move at a speed greater than the speed of light?",1
"272262",272261,390488,390489,"How do I get Safari 7 browser work with HP UFT 12.01 in Windows OS?","Is there any way to get directx 12 to work on my windows 7 computer?",0
"272747",272746,391068,304349,"How can I forget a bad memory?","How do you forget bad memories and move on?",0
"272966",272965,163574,344335,"How does I become an entrepreneur?","How I become a good entrepreneur?",1
"273168",273167,391586,391587,"If I forgot my Facebook password, how do I reset it?","I want to change my password in Facebook but I forgot my old password what can I do?",1
"273331",273330,391791,219942,"How can I build a laptop on my own?","How can I build my own laptop at home?",1
"273334",273333,355512,24111,"Can I get AIR 1 in IIT JEE?","How can I get AIR rank 1 in IIT -advance?",1
"273502",273501,391969,391970,"What is best gaming laptop in the range Rs 40-60k to purchase?","Which brand is the best to buy a gaming laptop under Rs 40-45k for gaming?",0
"273510",273509,18277,26054,"Why do some people use Quora when a dictionary or Google could be used instead?","Why are there so many people using Quora to answer questions that can easily be found with a simple Google search?",1
"273649",273648,140192,392139,"Are soulmates real? How do I know when I have found her?","Are soulmates real?",1
"273806",273805,392327,392328,"Will my CA driver license number change if I move back after getting a TX driver license?","How do I build profile for PhD in Machine Learning from Dartmouth College?",0
"273853",273852,333961,180895,"Why is 2000 rupee note introduced and the 1000 rupee note is scraped? Why can't 1000 note also be changed to new ones like the 500?","Why is the Indian government introduced 2000 note instead of 1000 note?",1
"274238",274237,392839,392840,"How historically and factually accurate is the Netflix drama Marco Polo?","How historically accurate is How to Train Your Dragon?",0
"274443",274442,393086,199835,"Which are the 4 stroke bikes in India?","Which are the 2 stroke bikes in india?",0
"274866",274865,393547,393548,"How do I score well in CUSAT exams?","I am not able to score well on VMC exams but am doing well in school. I have only one year left. Do I stand a chance in IIT?",0
"275019",275018,296231,393743,"How do cyber security services help my business?","How do I provide my service in cyber security as a freelancer?",0
"275777",275776,877,42016,"What are your views on ban of 500 and 1000 rupee notes in India?","What is your opinion on the discontinuation of 500 and 1000 rupee notes?",1
"275787",275786,312004,158095,"If automation takes all or even most jobs, how will people afford the products that the robots are producing?","How will people make money to pay for bills and buy products if automation take all or most jobs?",0
"275819",275818,347713,179773,"How could degree programs in biochemistry prepare students better for careers?","How could degree programs in accounting prepare students better for careers?",0
"276237",276236,395163,395164,"Does Goldman Sachs hire civil engineering students in India ?","What are the differences between Eastern and Western modern musics?",0
"276402",276401,83585,269120,"Can trump get elected?","Could Trump win?",1
"277359",277358,63242,99904,"Why Arnab Goswami resign times now? And start entrepreneurs.?","Why did Arnab Goswami resign from Times Now?",1
"277386",277385,217566,25423,"How does the embedded NGC technology of the Rs. 2000 note works?","Is it impossible to damage the embedded chip in the 2000 Rs note without damaging the currency value?",1
"277505",277504,38888,16638,"If you could name one book that changed your life, what book would it be and why?","What are some books that changed your life, and why?",1
"277960",277959,397166,397167,"Who were famous chaotically good people?","What are the best activities to do with children when visiting Bengaluru, Karnataka, India?",0
"278061",278060,397277,397278,"Why are grad students often so secretive when describing their research to undergrads?","How secretive should grad students be when describing their research to undergrads?",0
"279681",279680,30681,30647,"How can I make money online quickly and easily?","How could I make money online?",1
"279697",279696,399165,399166,"What's an example of an API that uses WebSockets?","Can I build my own UI on top of Moodle core, using its API? Are there any examples who have done it? How difficult would it be?",0
"279796",279795,6551,1357,"Why do people ask questions on Quora that are easily to find answers too on Google?","Why are so many questions posted to Quora that are so easily answered by using Google?",1
"280803",280802,353135,400449,"What is a slow over rate in cricket?","Who is the most under rated cricketer of Indian cricket team?",0
"281030",281029,58690,1449,"What is the meaning of our life?","What is the exact meaning of life?",1
"281305",281304,71508,5450,"What are your views about governments decision to stop flow of 1000 and 500 rupee notes.?","What do you think about decision by the Indian Government to demonetise 500 and 1000 rupees note?",1
"281433",281432,401208,229482,"How do you make an origami dragon?","How do you make origami?",0
"282454",282453,402388,270415,"What is the nursing care plan for psychosis?","What is a nursing care plan for a headache?",0
"282718",282717,305075,129230,"How can I fix a damaged friendship?","How can I fix a broken friendship?",0
"283364",283363,403466,403467,"What is a reasonable (hourly) rate for mobile (web) development?","Which is better, mobile app development or web development?",0
"283525",283524,403638,403639,"How is Virat Kohli so energetic?","Is Virat Kohli humble?",0
"283660",283659,260801,403793,"What's the best Harry Potter book?","What are the most significant dialogues or quotes of various Harry Potter characters?",0
"283802",283801,403956,380465,"What career should I take if I appeared for my 12-grade finals from NIOS this year, but my exams did not go well?","Could I appear for the IES exam in the BE (final) year?",0
"284553",284552,404817,404818,"Should I still apply for Stanford?","When should I apply for Stanford?",0
"285571",285570,406012,406013,"How does one lose all fears?","How do I lose my fear of fighting?",0
"285737",285736,406198,406199,"What are Sources and Books For Preparation of Civil Services Examination.","What are the best books for civil services?",1
"285816",285815,4629,65246,"What are the best digital marketing courses for mid-senior level marketing managers?","Which is the best free digital marketing course?",1
"286690",286689,407320,174743,"How do you define an open relationship?","What is an open relationship? What are the types of relationships?",1
"287088",287087,407782,162449,"How do people employ personal drivers?","What is golds value based on?",0
"287129",287128,407827,407828,"Could you name companies that BUY used computers in Western-Russia or in Belarus?","What spirits in Japanese culture are involved with tidying up and order?",0
"287733",287732,408550,17196,"CAn we drink cold drinks during cold?","Why should I not drink cold drink?",0
"289183",289182,410273,101368,"I have a really good website business idea. How do I get investor to invest on my business idea?","Where do I find an investor who would invest in a business plan and idea?",1
